               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.077417,            0.040696,            0.027896,             0.81402,             0.40226,             0.44314,             0.21114,                 nan,                 nan,                 nan,            0.070028,           0.0033302,           0.0033302
                   1,            0.054539,            0.034464,            0.013371,             0.83347,             0.46552,             0.54666,             0.27469,                 nan,                 nan,                 nan,            0.039808,           0.0064436,           0.0064436
                   2,            0.050189,            0.033502,            0.011506,             0.76747,             0.58646,             0.64606,             0.33557,                 nan,                 nan,                 nan,           0.0093683,           0.0093371,           0.0093371
                   3,             0.04612,            0.032819,            0.010367,             0.87406,             0.58787,             0.68278,             0.39575,                 nan,                 nan,                 nan,             0.00901,             0.00901,             0.00901
                   4,            0.042683,             0.03236,           0.0094309,             0.85765,             0.60541,             0.75108,             0.43345,                 nan,                 nan,                 nan,             0.00901,             0.00901,             0.00901
                   5,            0.040498,            0.031804,           0.0087994,             0.73637,             0.72869,              0.7919,             0.43699,                 nan,                 nan,                 nan,             0.00868,             0.00868,             0.00868
                   6,            0.038922,            0.031212,           0.0082125,             0.81633,             0.76938,             0.83036,             0.50568,                 nan,                 nan,                 nan,             0.00835,             0.00835,             0.00835
                   7,            0.037673,            0.030095,           0.0078278,              0.8105,             0.75028,             0.83401,             0.52128,                 nan,                 nan,                 nan,             0.00802,             0.00802,             0.00802
                   8,            0.037027,            0.030417,           0.0078432,             0.80846,             0.76108,             0.85466,             0.52772,                 nan,                 nan,                 nan,             0.00769,             0.00769,             0.00769
                   9,            0.036464,            0.030126,           0.0076315,             0.80805,             0.83011,              0.8722,             0.56099,                 nan,                 nan,                 nan,             0.00736,             0.00736,             0.00736
                  10,            0.035882,             0.02985,           0.0074668,             0.81361,             0.83595,             0.87467,             0.54423,                 nan,                 nan,                 nan,             0.00703,             0.00703,             0.00703
                  11,            0.035124,            0.029628,           0.0072932,             0.84673,             0.83864,             0.87628,             0.56627,                 nan,                 nan,                 nan,              0.0067,              0.0067,              0.0067
                  12,            0.034508,            0.029017,           0.0070593,             0.83307,             0.85282,             0.88396,             0.57565,                 nan,                 nan,                 nan,             0.00637,             0.00637,             0.00637
                  13,            0.034551,            0.028804,           0.0071091,              0.8343,             0.82627,             0.88975,             0.58508,                 nan,                 nan,                 nan,             0.00604,             0.00604,             0.00604
                  14,            0.033756,            0.028535,           0.0068999,             0.84282,             0.84804,             0.89193,             0.58891,                 nan,                 nan,                 nan,             0.00571,             0.00571,             0.00571
                  15,            0.033323,            0.028531,           0.0067219,             0.84131,             0.83963,             0.88728,             0.59044,                 nan,                 nan,                 nan,             0.00538,             0.00538,             0.00538
                  16,            0.033024,            0.028274,           0.0067725,             0.85282,             0.78427,             0.88305,             0.59423,                 nan,                 nan,                 nan,             0.00505,             0.00505,             0.00505
                  17,            0.032638,            0.027958,           0.0065738,              0.8769,             0.84555,             0.89676,             0.59979,                 nan,                 nan,                 nan,             0.00472,             0.00472,             0.00472
                  18,            0.032227,            0.027869,           0.0064462,              0.8536,             0.84117,              0.8951,              0.6029,                 nan,                 nan,                 nan,             0.00439,             0.00439,             0.00439
                  19,            0.031946,            0.027337,           0.0064254,              0.8795,             0.86487,             0.90174,             0.60278,                 nan,                 nan,                 nan,             0.00406,             0.00406,             0.00406
                  20,            0.031596,            0.027548,           0.0064502,             0.87601,             0.85439,             0.90339,             0.61875,                 nan,                 nan,                 nan,             0.00373,             0.00373,             0.00373
                  21,            0.031327,            0.027348,           0.0063099,             0.85625,             0.86304,             0.89647,              0.6138,                 nan,                 nan,                 nan,              0.0034,              0.0034,              0.0034
                  22,            0.031104,            0.027521,           0.0061092,              0.8796,             0.84555,             0.89847,             0.61481,                 nan,                 nan,                 nan,             0.00307,             0.00307,             0.00307
                  23,            0.030527,            0.026671,           0.0060042,             0.87914,             0.86389,             0.90442,             0.61842,                 nan,                 nan,                 nan,             0.00274,             0.00274,             0.00274
                  24,            0.030443,            0.026721,           0.0060957,             0.85765,             0.87492,             0.90007,             0.61837,                 nan,                 nan,                 nan,             0.00241,             0.00241,             0.00241
                  25,             0.03012,            0.026615,           0.0059679,              0.8763,             0.85948,             0.90223,             0.62266,                 nan,                 nan,                 nan,             0.00208,             0.00208,             0.00208
                  26,            0.029835,            0.026043,           0.0058017,             0.87216,             0.87046,             0.90399,             0.62518,                 nan,                 nan,                 nan,             0.00175,             0.00175,             0.00175
                  27,            0.029649,            0.026235,           0.0058901,             0.88361,             0.86192,             0.90255,             0.62593,                 nan,                 nan,                 nan,             0.00142,             0.00142,             0.00142
                  28,            0.029427,             0.02635,           0.0058929,              0.8748,             0.87113,              0.9071,             0.63604,                 nan,                 nan,                 nan,             0.00109,             0.00109,             0.00109
                  29,             0.02922,            0.025946,           0.0058076,             0.87824,             0.86587,             0.90797,             0.63787,                 nan,                 nan,                 nan,             0.00076,             0.00076,             0.00076
